filename	sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched	density (range=3,same_paragraph=True)	density (range=3,same_paragraph=False)	paragraph density	paragraph density median	paragraph density std
Loaisel_Lucile	0	LUCILE ET MILCOURT,	0	0	3	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Loaisel_Lucile	1	OU	1	0	1	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Loaisel_Lucile	2	LE CRI DU SENTIMENT;	2	0	4	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Loaisel_Lucile	3	ANECDOTE.	3	0	1	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Loaisel_Lucile	4	Par	4	0	1	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Loaisel_Lucile	5	Loaisel de Treogate.	5	0	3	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Loaisel_Lucile	6	La nature frémit, l'humanité pleure,	6	0	6	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Loaisel_Lucile	7	et la raison se taît.	7	0	5	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Loaisel_Lucile	8	A PARIS	8	0	2	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Loaisel_Lucile	9	Chez	8	1	1	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Loaisel_Lucile	10	Leprieur,	9	0	1	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Loaisel_Lucile	11	Libraire, rue de Savoie, n°.	10	0	5	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Loaisel_Lucile	12	12.	10	1	1	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Loaisel_Lucile	13	L'an second de la République.	11	0	6	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Loaisel_Lucile	14	J'avais	12	0	2	0	0.0	[]	0.0	0.02631578947368421	0.0	0.0	0.0
Loaisel_Lucile	15	revu ma patrie, j'avais retrouvé parmi des bois et des rochers, cette profondeur de sentiment, ce calme de l'âme que l'on doit au silence de la retraite;	13	0	30	1	0.0333333333333333	[['calme']]	0.044444444444444446	0.0425531914893617	0.043478260869565216	0.0333333333333333	0.0333333333333333
Loaisel_Lucile	16	et malgré l'indulgence du public pour mes faibles essais, j'avais abandonné une carrière	13	1	15	1	0.0666666666666666	[['faible']]	0.043478260869565216	0.043478260869565216	0.043478260869565216	0.0333333333333333	0.0333333333333333
Loaisel_Lucile	17	si	13	2	1	0	0.0	[]	0.0625	0.027777777777777776	0.043478260869565216	0.0333333333333333	0.0333333333333333
Loaisel_Lucile	18	difficile à parcourir, où j'avais à peine fait quelques pas, et dont le but glorieux me paraissait si éloigné.	14	0	20	0	0.0	[]	0.025	0.024390243902439025	0.022222222222222223	0.0	0.028867513459481294
Loaisel_Lucile	19	J'avais refermé les livres de nos maîtres, où je puisai l'amour des beaux arts, que je dévorais autrefois;	14	1	20	1	0.05	[['beau']]	0.022222222222222223	0.022222222222222223	0.022222222222222223	0.0	0.028867513459481294
